"draw_date";"company_code";"number";"category";"position"
"2018-01-06";"MAG";"9939";"CONS";6
"2018-01-06";"MAG";"5995";"CONS";7
"2018-01-06";"MAG";"1261";"CONS";8
"2018-01-06";"MAG";"1883";"CONS";9
"2018-01-06";"MAG";"5103";"CONS";10
"2018-01-06";"ST";"9607";"FST";1
"2018-01-06";"ST";"4593";"SCD";2
"2018-01-06";"ST";"7593";"TRD";3
"2018-01-06";"ST";"----";"SP";1
"2018-01-06";"ST";"7720";"SP";2
"2018-01-06";"ST";"2573";"SP";3
"2018-01-06";"ST";"5208";"SP";4
"2018-01-06";"ST";"6697";"SP";5
"2018-01-06";"ST";"2617";"SP";6
"2018-01-06";"ST";"7843";"SP";7
"2018-01-06";"ST";"----";"SP";8
"2018-01-06";"ST";"6557";"SP";9
"2018-01-06";"ST";"3281";"SP";10
"2018-01-06";"ST";"----";"SP";11
"2018-01-06";"ST";"6699";"SP";12
"2018-01-06";"ST";"0552";"SP";13
"2018-01-06";"ST";"3599";"CONS";1
"2018-01-06";"ST";"3258";"CONS";2
"2018-01-06";"ST";"9715";"CONS";3
"2018-01-06";"ST";"8080";"CONS";4
"2018-01-06";"ST";"7536";"CONS";5
"2018-01-06";"ST";"1687";"CONS";6
"2018-01-06";"ST";"2524";"CONS";7
"2018-01-06";"ST";"1901";"CONS";8
"2018-01-06";"ST";"6258";"CONS";9
"2018-01-06";"ST";"2504";"CONS";10
"2018-01-07";"DMC";"3452";"FST";1
"2018-01-07";"DMC";"8907";"SCD";2
"2018-01-07";"DMC";"2755";"TRD";3
"2018-01-07";"DMC";"3016";"SP";1
"2018-01-07";"DMC";"4117";"SP";2
"2018-01-07";"DMC";"2891";"SP";3
"2018-01-07";"DMC";"2795";"SP";4
"2018-01-07";"DMC";"6268";"SP";5
"2018-01-07";"DMC";"4225";"SP";6
"2018-01-07";"DMC";"7085";"SP";7
"2018-01-07";"DMC";"9741";"SP";8
"2018-01-07";"DMC";"4132";"SP";9
"2018-01-07";"DMC";"7860";"SP";10
"2018-01-07";"DMC";"7758";"CONS";1
"2018-01-07";"DMC";"0106";"CONS";2
"2018-01-07";"DMC";"5209";"CONS";3
"2018-01-07";"DMC";"4305";"CONS";4
"2018-01-07";"DMC";"7577";"CONS";5
